2022-01-08 13:23:31.071055
shareName        livePrice    buyPrice    quantity    invested    rightnow    profit/loss
-------------  -----------  ----------  ----------  ----------  ----------  -------------
ADANIPORTS.BO       735.95      765.16           5     3825.8      3679.75     -146.05
BHARTIARTL.BO       704.75      540.52          11     5945.72     7752.25     1806.53
BIBCL.BO             54.3        61.35           1       61.35       54.3        -7.05
BRAWN.BO             23.65       23.95         206     4933.7      4871.9       -61.8001
IDEA.BO              15.1        10.1           17      171.7       256.7        85
IRFC.BO              22.95       25.78         649    16731.2     14894.6     -1836.67
MANINFRA.BO         117.3        95.24          10      952.4      1173         220.6
NFL.BO               55.35       59.25           4      237         221.4       -15.6
RCOM.BO               3.84        3.01          49      147.49      188.16       40.67
RPOWER.BO            14.15       11.55          70      808.5       990.5       182
TATACONSUM.BO       736         816.4            1      816.4       736         -80.4
TATAPOWER.BO        229.7       228.45           3      685.35      689.1         3.74999
FEDERALBNK.BO        91.35       96.11           5      480.55      456.75      -23.8
GREENPOWER.BO        24.9         4.91          70      343.7      1743        1399.3
RPOWER.BO            14.15       15.47          13      201.11      183.95      -17.16

======================================== 1549.32 ========================================
